server,timestamp,gpu_utilization,cpu_utilization,memory_gb,power_w,temperature_c
AI-SRV-01,2026-08-24 08:00:00,59.61,59.61,24.87,405.77,65.17
AI-SRV-01,2026-08-24 08:05:00,49.49,52.64,27.73,364.47,72.55
AI-SRV-01,2026-08-24 08:10:00,65.62,47.06,26.34,420.07,72.41
AI-SRV-01,2026-08-24 08:15:00,26.19,63.44,17.71,295.92,61.29
AI-SRV-01,2026-08-24 08:20:00,53.98,21.25,24.66,380.11,68.49
AI-SRV-01,2026-08-24 08:25:00,22.31,29.96,21.84,287.85,62.39
AI-SRV-01,2026-08-24 08:30:00,38.76,29.59,24.44,330.79,67.62
AI-SRV-01,2026-08-24 08:35:00,52.55,42.54,22.79,356.16,67.64
AI-SRV-01,2026-08-24 08:40:00,55.56,29.24,26.28,407.01,70.68
AI-SRV-01,2026-08-24 08:45:00,47.25,55.94,26.9,363.85,65.59
AI-SRV-01,2026-08-24 08:50:00,58.73,49.46,22.93,343.12,70.48
AI-SRV-01,2026-08-24 08:55:00,45.68,68.82,17.93,351.6,65.37
AI-SRV-01,2026-08-24 09:00:00,58.76,47.18,21.02,381.67,72.9
AI-SRV-01,2026-08-24 09:05:00,40.76,37.74,13.59,350.41,61.96
AI-SRV-01,2026-08-24 09:10:00,33.2,57.34,32.22,312.94,62.23
AI-SRV-01,2026-08-24 09:15:00,57.68,49.85,19.4,385.1,69.89
AI-SRV-01,2026-08-24 09:20:00,58.94,38.89,28.74,368.14,68.78
AI-SRV-01,2026-08-24 09:25:00,64.61,43.59,27.88,393.19,66.15
AI-SRV-01,2026-08-24 09:30:00,23.95,38.41,24.54,346.49,62.59
AI-SRV-01,2026-08-24 09:35:00,52.59,52.95,23.68,379.44,72.39
AI-SRV-01,2026-08-24 09:40:00,62.05,42.3,25.86,387.5,70.88
AI-SRV-01,2026-08-24 09:45:00,58.13,56.14,27.75,379.79,67.69
AI-SRV-01,2026-08-24 09:50:00,42.33,54.99,23.07,330.94,65.84
AI-SRV-01,2026-08-24 09:55:00,97.0,93.0,55.0,590.0,66.97
AI-SRV-01,2026-08-24 10:00:00,48.24,24.38,24.03,355.76,66.79
AI-SRV-01,2026-08-24 10:05:00,43.69,29.34,18.66,334.65,66.3
AI-SRV-01,2026-08-24 10:10:00,47.36,45.88,25.34,340.26,68.11
AI-SRV-01,2026-08-24 10:15:00,45.9,44.56,25.91,351.19,64.25
AI-SRV-01,2026-08-24 10:20:00,32.23,46.51,21.57,298.46,61.71
AI-SRV-01,2026-08-24 10:25:00,22.44,47.93,22.16,282.55,65.49
AI-SRV-01,2026-08-24 10:30:00,33.32,49.78,24.23,358.29,61.06
AI-SRV-01,2026-08-24 10:35:00,32.85,47.42,19.34,339.09,62.98
AI-SRV-01,2026-08-24 10:40:00,44.13,35.01,24.84,356.1,61.22
AI-SRV-01,2026-08-24 10:45:00,52.75,54.35,24.87,371.24,67.07
AI-SRV-01,2026-08-24 10:50:00,55.61,32.78,26.51,354.84,66.35
AI-SRV-01,2026-08-24 10:55:00,40.27,36.75,19.11,375.7,67.94
AI-SRV-01,2026-08-24 11:00:00,53.81,41.42,25.16,387.03,68.07
AI-SRV-01,2026-08-24 11:05:00,60.45,35.59,30.55,375.0,72.23
AI-SRV-01,2026-08-24 11:10:00,49.23,53.21,27.81,366.37,69.6
AI-SRV-01,2026-08-24 11:15:00,61.85,33.18,19.61,369.09,66.85
AI-SRV-01,2026-08-24 11:20:00,53.06,39.12,20.02,370.2,67.22
AI-SRV-01,2026-08-24 11:25:00,46.07,40.82,23.14,354.07,68.08
AI-SRV-01,2026-08-24 11:30:00,52.43,61.34,26.01,401.99,86.5
AI-SRV-01,2026-08-24 11:35:00,38.05,43.77,25.25,348.96,63.71
AI-SRV-01,2026-08-24 11:40:00,50.46,37.14,19.18,384.2,65.31
AI-SRV-01,2026-08-24 11:45:00,53.24,44.39,20.49,366.06,71.88
AI-SRV-01,2026-08-24 11:50:00,51.4,44.55,19.34,360.26,63.66
AI-SRV-01,2026-08-24 11:55:00,39.6,40.16,20.74,356.88,69.8
AI-SRV-01,2026-08-24 12:00:00,48.28,50.79,26.27,351.34,69.95
AI-SRV-01,2026-08-24 12:05:00,45.18,30.52,27.69,351.08,65.94
AI-SRV-02,2026-08-24 08:00:00,49.34,33.93,32.06,381.63,68.33
AI-SRV-02,2026-08-24 08:05:00,60.74,39.54,28.49,407.79,69.66
AI-SRV-02,2026-08-24 08:10:00,37.6,39.92,30.65,365.3,64.48
AI-SRV-02,2026-08-24 08:15:00,54.89,54.06,31.76,378.21,73.91
AI-SRV-02,2026-08-24 08:20:00,52.19,43.46,25.85,385.65,66.59
AI-SRV-02,2026-08-24 08:25:00,33.47,59.04,27.49,320.87,67.98
AI-SRV-02,2026-08-24 08:30:00,49.3,40.31,26.3,366.42,64.62
AI-SRV-02,2026-08-24 08:35:00,42.04,34.56,25.36,341.9,71.7
AI-SRV-02,2026-08-24 08:40:00,43.86,54.38,27.56,376.3,64.83
AI-SRV-02,2026-08-24 08:45:00,47.17,52.78,30.3,367.68,66.02
AI-SRV-02,2026-08-24 08:50:00,51.95,60.99,18.98,400.55,69.78
AI-SRV-02,2026-08-24 08:55:00,29.07,34.13,21.43,335.05,67.46
AI-SRV-02,2026-08-24 09:00:00,51.06,53.53,30.43,434.75,65.48
AI-SRV-02,2026-08-24 09:05:00,40.21,49.43,25.22,357.1,64.76
AI-SRV-02,2026-08-24 09:10:00,43.72,38.85,25.55,356.98,69.12
AI-SRV-02,2026-08-24 09:15:00,40.52,50.99,30.22,399.77,65.62
AI-SRV-02,2026-08-24 09:20:00,62.95,51.63,19.05,414.19,69.04
AI-SRV-02,2026-08-24 09:25:00,65.08,47.75,30.99,433.23,66.48
AI-SRV-02,2026-08-24 09:30:00,48.38,53.52,18.42,355.75,68.72
AI-SRV-02,2026-08-24 09:35:00,54.22,35.29,26.98,423.44,69.06
AI-SRV-02,2026-08-24 09:40:00,48.42,42.56,27.36,382.46,70.48
AI-SRV-02,2026-08-24 09:45:00,66.81,26.45,24.09,416.82,70.45
AI-SRV-02,2026-08-24 09:50:00,68.44,53.52,28.78,418.5,70.74
AI-SRV-02,2026-08-24 09:55:00,55.83,54.09,32.35,420.17,68.63
AI-SRV-02,2026-08-24 10:00:00,33.41,48.34,29.88,385.52,67.6
AI-SRV-02,2026-08-24 10:05:00,60.32,56.08,22.1,428.12,71.03
AI-SRV-02,2026-08-24 10:10:00,65.8,47.26,26.6,402.26,72.54
AI-SRV-02,2026-08-24 10:15:00,42.04,26.98,26.28,372.91,68.21
AI-SRV-02,2026-08-24 10:20:00,97.0,93.0,55.0,590.0,69.9
AI-SRV-02,2026-08-24 10:25:00,33.61,42.23,25.53,336.44,65.58
AI-SRV-02,2026-08-24 10:30:00,51.43,36.09,19.3,402.62,70.24
AI-SRV-02,2026-08-24 10:35:00,47.0,54.83,24.06,349.64,67.69
AI-SRV-02,2026-08-24 10:40:00,54.98,55.74,29.11,401.24,66.0
AI-SRV-02,2026-08-24 10:45:00,55.35,55.71,20.9,403.86,68.69
AI-SRV-02,2026-08-24 10:50:00,26.05,58.26,25.15,301.07,64.93
AI-SRV-02,2026-08-24 10:55:00,39.4,56.68,14.19,372.0,73.0
AI-SRV-02,2026-08-24 11:00:00,72.37,40.66,23.39,447.36,74.1
AI-SRV-02,2026-08-24 11:05:00,37.61,39.43,31.14,345.59,69.78
AI-SRV-02,2026-08-24 11:10:00,47.63,37.84,32.96,381.99,70.79
AI-SRV-02,2026-08-24 11:15:00,45.84,43.63,25.34,362.38,67.84
AI-SRV-02,2026-08-24 11:20:00,63.26,48.56,24.92,403.67,68.32
AI-SRV-02,2026-08-24 11:25:00,56.03,19.09,22.03,387.23,70.55
AI-SRV-02,2026-08-24 11:30:00,56.25,41.83,22.51,398.37,72.65
AI-SRV-02,2026-08-24 11:35:00,65.64,29.59,23.07,440.68,69.32
AI-SRV-02,2026-08-24 11:40:00,40.29,40.53,26.05,362.63,66.36
AI-SRV-02,2026-08-24 11:45:00,56.98,51.68,22.42,402.14,69.82
AI-SRV-02,2026-08-24 11:50:00,55.3,40.31,28.16,394.85,70.82
AI-SRV-02,2026-08-24 11:55:00,76.08,40.71,24.56,443.29,76.47
AI-SRV-02,2026-08-24 12:00:00,41.78,50.51,33.99,360.75,66.77
AI-SRV-02,2026-08-24 12:05:00,58.64,43.34,23.36,407.83,70.48
AI-SRV-03,2026-08-24 08:00:00,58.68,47.71,27.05,400.81,69.87
AI-SRV-03,2026-08-24 08:05:00,68.33,50.06,22.61,432.73,76.45
AI-SRV-03,2026-08-24 08:10:00,41.33,49.78,32.22,355.51,65.85
AI-SRV-03,2026-08-24 08:15:00,56.7,72.56,29.98,407.13,70.91
AI-SRV-03,2026-08-24 08:20:00,55.6,38.87,30.13,393.88,73.59
AI-SRV-03,2026-08-24 08:25:00,60.98,37.91,28.25,434.54,75.03
AI-SRV-03,2026-08-24 08:30:00,61.92,34.93,32.97,431.63,77.55
AI-SRV-03,2026-08-24 08:35:00,48.18,39.05,21.46,411.81,66.54
AI-SRV-03,2026-08-24 08:40:00,55.98,47.92,28.1,407.46,73.29
AI-SRV-03,2026-08-24 08:45:00,57.72,36.83,33.23,435.22,69.95
AI-SRV-03,2026-08-24 08:50:00,56.17,49.44,36.08,404.6,74.93
AI-SRV-03,2026-08-24 08:55:00,63.86,53.32,30.47,421.15,74.46
AI-SRV-03,2026-08-24 09:00:00,64.65,58.19,28.79,461.34,75.74
AI-SRV-03,2026-08-24 09:05:00,68.82,65.47,28.06,423.1,78.94
AI-SRV-03,2026-08-24 09:10:00,54.96,32.9,29.58,398.05,73.27
AI-SRV-03,2026-08-24 09:15:00,60.44,40.79,36.59,421.93,74.81
AI-SRV-03,2026-08-24 09:20:00,52.29,45.43,36.32,406.49,66.94
AI-SRV-03,2026-08-24 09:25:00,49.36,47.15,20.63,409.41,68.66
AI-SRV-03,2026-08-24 09:30:00,32.39,40.01,24.78,367.35,69.09
AI-SRV-03,2026-08-24 09:35:00,62.41,55.73,36.85,444.85,71.22
AI-SRV-03,2026-08-24 09:40:00,52.21,51.87,22.61,402.19,72.71
AI-SRV-03,2026-08-24 09:45:00,97.0,93.0,55.0,590.0,73.24
AI-SRV-03,2026-08-24 09:50:00,49.18,55.64,29.25,391.45,76.67
AI-SRV-03,2026-08-24 09:55:00,58.59,58.96,30.94,426.83,69.8
AI-SRV-03,2026-08-24 10:00:00,54.74,47.51,21.54,415.57,75.32
AI-SRV-03,2026-08-24 10:05:00,31.3,51.16,28.02,340.08,67.63
AI-SRV-03,2026-08-24 10:10:00,66.33,63.37,23.94,430.45,76.57
AI-SRV-03,2026-08-24 10:15:00,56.88,40.15,26.93,441.9,73.91
AI-SRV-03,2026-08-24 10:20:00,42.52,45.05,16.96,395.39,68.59
AI-SRV-03,2026-08-24 10:25:00,58.32,33.33,21.99,417.81,70.83
AI-SRV-03,2026-08-24 10:30:00,47.18,80.97,18.96,404.33,74.3
AI-SRV-03,2026-08-24 10:35:00,58.19,44.65,26.63,407.54,70.3
AI-SRV-03,2026-08-24 10:40:00,78.84,32.81,25.99,471.01,78.31
AI-SRV-03,2026-08-24 10:45:00,69.84,59.25,29.47,453.5,71.61
AI-SRV-03,2026-08-24 10:50:00,53.77,51.85,19.89,384.96,70.07
AI-SRV-03,2026-08-24 10:55:00,57.73,60.65,30.12,436.05,72.21
AI-SRV-03,2026-08-24 11:00:00,55.69,51.1,25.61,410.68,70.28
AI-SRV-03,2026-08-24 11:05:00,61.04,51.96,27.52,411.01,71.1
AI-SRV-03,2026-08-24 11:10:00,52.93,73.83,29.52,405.07,71.45
AI-SRV-03,2026-08-24 11:15:00,62.01,46.92,30.71,411.69,73.32
AI-SRV-03,2026-08-24 11:20:00,46.77,35.42,26.38,411.26,71.42
AI-SRV-03,2026-08-24 11:25:00,40.23,48.29,34.44,408.26,71.29
AI-SRV-03,2026-08-24 11:30:00,42.88,44.6,22.85,379.3,69.25
AI-SRV-03,2026-08-24 11:35:00,52.2,64.88,38.54,419.39,69.85
AI-SRV-03,2026-08-24 11:40:00,55.22,68.68,27.33,399.64,69.74
AI-SRV-03,2026-08-24 11:45:00,65.29,48.62,28.39,453.15,72.01
AI-SRV-03,2026-08-24 11:50:00,59.5,42.98,30.2,452.86,86.5
AI-SRV-03,2026-08-24 11:55:00,52.65,41.46,33.09,403.01,70.65
AI-SRV-03,2026-08-24 12:00:00,52.99,53.6,32.88,394.62,75.82
AI-SRV-03,2026-08-24 12:05:00,46.45,35.81,28.56,392.45,70.81
AI-SRV-04,2026-08-24 08:00:00,51.56,51.9,30.77,437.97,75.76
AI-SRV-04,2026-08-24 08:05:00,43.67,50.83,29.65,427.6,71.34
AI-SRV-04,2026-08-24 08:10:00,52.27,51.92,28.8,432.22,78.3
AI-SRV-04,2026-08-24 08:15:00,62.54,55.6,35.69,444.07,75.38
AI-SRV-04,2026-08-24 08:20:00,51.76,41.01,27.15,409.7,72.8
AI-SRV-04,2026-08-24 08:25:00,44.14,80.05,30.93,393.52,69.57
AI-SRV-04,2026-08-24 08:30:00,57.06,36.86,25.73,430.93,72.86
AI-SRV-04,2026-08-24 08:35:00,66.87,50.42,27.52,450.97,75.21
AI-SRV-04,2026-08-24 08:40:00,69.14,49.78,29.96,468.87,76.73
AI-SRV-04,2026-08-24 08:45:00,64.19,54.93,30.54,439.94,72.37
AI-SRV-04,2026-08-24 08:50:00,52.02,49.77,30.21,418.62,71.87
AI-SRV-04,2026-08-24 08:55:00,53.94,57.07,25.2,443.24,74.73
AI-SRV-04,2026-08-24 09:00:00,87.23,60.5,38.37,491.86,79.55
AI-SRV-04,2026-08-24 09:05:00,72.14,49.82,29.39,462.42,74.27
AI-SRV-04,2026-08-24 09:10:00,35.11,39.15,27.8,376.78,75.18
AI-SRV-04,2026-08-24 09:15:00,41.31,43.63,27.89,422.0,73.08
AI-SRV-04,2026-08-24 09:20:00,65.13,44.75,22.75,465.6,74.73
AI-SRV-04,2026-08-24 09:25:00,61.64,73.16,35.88,472.17,75.8
AI-SRV-04,2026-08-24 09:30:00,42.23,61.85,34.79,422.93,72.41
AI-SRV-04,2026-08-24 09:35:00,39.56,47.86,21.98,369.81,73.22
AI-SRV-04,2026-08-24 09:40:00,63.73,47.0,26.01,450.3,76.69
AI-SRV-04,2026-08-24 09:45:00,71.16,52.0,23.94,451.29,80.86
AI-SRV-04,2026-08-24 09:50:00,48.79,43.64,31.67,409.61,79.98
AI-SRV-04,2026-08-24 09:55:00,46.84,27.48,31.97,403.45,71.77
AI-SRV-04,2026-08-24 10:00:00,61.38,48.5,26.75,447.69,73.13
AI-SRV-04,2026-08-24 10:05:00,62.77,46.84,33.36,454.45,75.12
AI-SRV-04,2026-08-24 10:10:00,97.0,93.0,55.0,590.0,70.88
AI-SRV-04,2026-08-24 10:15:00,55.1,53.47,32.35,453.01,73.59
AI-SRV-04,2026-08-24 10:20:00,43.94,51.93,26.96,413.29,75.17
AI-SRV-04,2026-08-24 10:25:00,68.09,58.15,33.04,467.21,74.03
AI-SRV-04,2026-08-24 10:30:00,42.68,36.57,26.56,410.91,71.13
AI-SRV-04,2026-08-24 10:35:00,49.64,54.3,23.78,423.34,71.01
AI-SRV-04,2026-08-24 10:40:00,50.7,63.17,17.92,441.11,75.39
AI-SRV-04,2026-08-24 10:45:00,52.73,54.58,30.9,402.75,78.19
AI-SRV-04,2026-08-24 10:50:00,52.36,36.02,30.71,445.2,72.56
AI-SRV-04,2026-08-24 10:55:00,73.27,34.53,27.46,426.29,78.26
AI-SRV-04,2026-08-24 11:00:00,61.28,54.47,31.3,438.63,72.84
AI-SRV-04,2026-08-24 11:05:00,60.49,53.81,26.08,441.17,67.91
AI-SRV-04,2026-08-24 11:10:00,69.58,64.06,27.39,434.45,75.26
