request_id,node,model,timestamp,latency_ms,confidence,cpu_pct,memory_mb,requests_s
REQ-0001,edge-south,fraud-xgb,2026-08-20 08:00:00,70.59,0.7861,40.72,436.56,50.69
REQ-0002,edge-east,vision-lite,2026-08-20 08:02:00,94.4,0.8338,64.61,708.05,30.12
REQ-0003,edge-east,text-mini,2026-08-20 08:04:00,123.07,0.7891,62.18,1090.27,28.61
REQ-0004,edge-west,fraud-xgb,2026-08-20 08:06:00,51.11,0.834,28.84,500.23,48.26
REQ-0005,edge-south,vision-lite,2026-08-20 08:08:00,97.58,0.7023,66.9,693.46,38.66
REQ-0006,edge-south,fraud-xgb,2026-08-20 08:10:00,25.1,0.6538,21.69,431.61,51.13
REQ-0007,edge-north,fraud-xgb,2026-08-20 08:12:00,41.2,0.6868,36.49,509.58,53.5
REQ-0008,edge-south,fraud-xgb,2026-08-20 08:14:00,40.85,0.6683,32.83,749.72,49.69
REQ-0009,edge-east,fraud-xgb,2026-08-20 08:16:00,38.18,0.6896,37.06,400.84,45.5
REQ-0010,edge-west,vision-lite,2026-08-20 08:18:00,79.14,0.8313,48.39,789.84,37.67
REQ-0011,edge-east,fraud-xgb,2026-08-20 08:20:00,52.79,0.7287,32.0,352.04,60.61
REQ-0012,edge-west,vision-lite,2026-08-20 08:22:00,99.36,0.8504,53.52,891.74,34.01
REQ-0013,edge-north,vision-lite,2026-08-20 08:24:00,104.5,0.8296,71.89,670.7,28.45
REQ-0014,edge-south,fraud-xgb,2026-08-20 08:26:00,60.6,0.8632,37.81,572.2,52.45
REQ-0015,edge-south,vision-lite,2026-08-20 08:28:00,106.48,0.7982,56.25,920.1,34.97
REQ-0016,edge-west,vision-lite,2026-08-20 08:30:00,82.95,0.7265,53.66,949.2,43.43
REQ-0017,edge-west,text-mini,2026-08-20 08:32:00,139.53,0.5499,78.03,1101.39,37.54
REQ-0018,edge-north,fraud-xgb,2026-08-20 08:34:00,41.6,0.7898,34.47,508.13,66.54
REQ-0019,edge-east,vision-lite,2026-08-20 08:36:00,90.67,0.8892,71.71,960.43,32.78
REQ-0020,edge-north,vision-lite,2026-08-20 08:38:00,101.02,0.7354,64.0,842.08,35.28
REQ-0021,edge-south,fraud-xgb,2026-08-20 08:40:00,25.7,0.7561,39.62,744.71,58.61
REQ-0022,edge-north,fraud-xgb,2026-08-20 08:42:00,73.56,0.638,46.47,766.8,25.6
REQ-0023,edge-west,vision-lite,2026-08-20 08:44:00,85.07,0.7358,59.89,799.69,32.81
REQ-0024,edge-south,text-mini,2026-08-20 08:46:00,127.13,0.8202,76.47,1143.3,21.85
REQ-0025,edge-south,text-mini,2026-08-20 08:48:00,134.48,0.8314,67.29,1132.97,26.51
REQ-0026,edge-north,vision-lite,2026-08-20 08:50:00,118.8,0.8196,54.1,888.29,39.7
REQ-0027,edge-north,vision-lite,2026-08-20 08:52:00,90.4,0.7853,58.84,811.18,38.99
REQ-0028,edge-west,fraud-xgb,2026-08-20 08:54:00,50.27,0.8049,35.55,573.97,64.3
REQ-0029,edge-south,fraud-xgb,2026-08-20 08:56:00,34.22,0.8947,34.83,453.75,51.26
REQ-0030,edge-south,text-mini,2026-08-20 08:58:00,115.46,0.8588,74.15,988.91,30.77
REQ-0031,edge-east,fraud-xgb,2026-08-20 09:00:00,66.04,0.8395,32.13,440.94,46.19
REQ-0032,edge-west,text-mini,2026-08-20 09:02:00,114.4,0.8459,57.66,1027.24,28.8
REQ-0033,edge-north,text-mini,2026-08-20 09:04:00,102.14,0.9361,63.0,1088.32,19.0
REQ-0034,edge-east,text-mini,2026-08-20 09:06:00,124.55,0.7493,60.4,907.07,31.57
REQ-0035,edge-east,fraud-xgb,2026-08-20 09:08:00,46.54,0.4632,63.17,777.52,40.79
REQ-0036,edge-south,fraud-xgb,2026-08-20 09:10:00,45.19,0.99,26.74,552.39,58.33
REQ-0037,edge-north,vision-lite,2026-08-20 09:12:00,166.09,0.5745,90.76,937.72,24.78
