store_id,error_a,error_b,difference,favors
S01,12.4,10.6,1.8000000000000007,B
S02,9.8,9.1,0.7000000000000011,B
S03,15.1,13.9,1.1999999999999993,B
S04,11.0,12.4,-1.4000000000000004,A
S05,8.7,7.2,1.4999999999999991,B
S06,13.6,13.9,-0.3000000000000007,A
S07,10.2,9.3,0.8999999999999986,B
S08,14.9,12.8,2.0999999999999996,B
S09,7.5,9.3,-1.8000000000000007,A
S10,16.0,15.0,1.0,B
S11,9.3,9.8,-0.5,A
S12,12.8,11.1,1.700000000000001,B
S13,11.7,12.9,-1.200000000000001,A
S14,8.9,8.3,0.5999999999999996,B
S15,13.2,11.9,1.299999999999999,B
S16,10.6,11.5,-0.9000000000000004,A
