paso,loss_antes,grad_norm,change_norm,w1_antes,w2_antes,b_antes,grad_w1,grad_w2,grad_b,w1_despues,w2_despues,b_despues
1,0.6931471805599453,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-0.125
2,0.6638490353171691,0.2199007748797072,0.1099503874398536,0.0,0.0,-0.125,-0.015604686686878103,-0.015604686686878103,0.21879062662624377,0.007802343343439051,0.007802343343439051,-0.23439531331312188
3,0.6409564717138629,0.19752311908840955,0.09876155954420475,0.007802343343439051,0.007802343343439051,-0.23439531331312188,-0.02772190022258804,-0.02772190022258804,0.193593323930635,0.02166329345473307,0.02166329345473307,-0.33119197527843935
4,0.6223063214602343,0.1809892423160387,0.09049462115801937,0.02166329345473307,0.02166329345473307,-0.33119197527843935,-0.037060919519819435,-0.037060919519819435,0.17323418347088632,0.04019375321464279,0.04019375321464279,-0.41780906701388254
5,0.6065116247391142,0.1687343691923255,0.08436718459616274,0.04019375321464279,0.04019375321464279,-0.41780906701388254,-0.044215467659083046,-0.044215467659083046,0.15672036302315398,0.06230148704418431,0.06230148704418431,-0.4961692485254595
6,0.5926842424419115,0.1595407121029882,0.07977035605149414,0.06230148704418431,0.06230148704418431,-0.4961692485254595,-0.04965856655814957,-0.04965856655814957,0.14325254745765684,0.0871307703232591,0.0871307703232591,-0.567795522254288
7,0.5802523024239972,0.1525030958285004,0.07625154791425018,0.0871307703232591,0.0871307703232591,-0.567795522254288,-0.05375949428283791,-0.05375949428283791,0.1322007102332806,0.11401051746467805,0.11401051746467805,-0.6338958773709282
8,0.568844105777005,0.1469702629026031,0.07348513145130156,0.11401051746467805,0.11401051746467805,-0.6338958773709282,-0.05680482286099908,-0.05680482286099908,0.12307185859131771,0.1424129288951776,0.1424129288951776,-0.6954318066665871
9,0.558215157356999,0.14248426805634834,0.07124213402817414,0.1424129288951776,0.1424129288951776,-0.6954318066665871,-0.05901721870215093,-0.05901721870215093,0.11548031190154578,0.17192153824625306,0.17192153824625306,-0.75317196261736
10,0.5482023302427345,0.1387280791327246,0.06936403956636229,0.17192153824625306,0.17192153824625306,-0.75317196261736,-0.06057050640100027,-0.06057050640100027,0.10912335885825854,0.2022067914467532,0.2022067914467532,-0.8077336420464892
11,0.5386949403154861,0.1354844129446394,0.0677422064723197,0.2022067914467532,0.2022067914467532,-0.8077336420464892,-0.06160120505728185,-0.06160120505728185,0.1037622726328553,0.2330073939753941,0.2330073939753941,-0.8596147783629169
12,0.529616367366063,0.1326052397554701,0.06630261987773509,0.2330073939753941,0.2330073939753941,-0.8596147783629169,-0.06221720548666683,-0.06221720548666683,0.0992078035915797,0.26411599671872754,0.26411599671872754,-0.9092186801587068
13,0.5209122912334374,0.12999001455679587,0.06499500727839792,0.26411599671872754,0.26411599671872754,-0.9092186801587068,-0.06250426856473316,-0.06250426856473316,0.09530916381361984,0.2953681310010941,0.2953681310010941,-0.9568732620655167
14,0.5125431090116904,0.12757049757564626,0.06378524878782324,0.2953681310010941,0.2953681310010941,-0.9568732620655167,-0.06253090672219336,-0.06253090672219336,0.09194565384344534,0.3266335843621908,0.3266335843621908,-1.0028460889872395
15,0.5044790163955664,0.1253003220509652,0.06265016102548264,0.3266335843621908,0.3266335843621908,-1.0028460889872395,-0.06235207714531028,-0.06235207714531028,0.08902026543100254,0.357809622934846,0.357809622934846,-1.0473562217027408
16,0.49669679961028623,0.123147887243029,0.06157394362151446,0.357809622934846,0.357809622934846,-1.0473562217027408,-0.062012001875727224,-0.062012001875727224,0.08645475914691678,0.38881562387270957,0.38881562387270957,-1.0905836012761991
17,0.489177733100127,0.12109154176478708,0.060545770882393456,0.38881562387270957,0.38881562387270957,-1.0905836012761991,-0.06154634299198074,-0.06154634299198074,0.08418584688414141,0.4195887953686999,0.4195887953686999,-1.1326765247182697
